index,desc
, 本地刷卡停止
, 后台远程停止充电
, 充满自动停止
, 达到余额下限停止（用户余额不足）
, 充电桩故障
, BMS 停止充电
, 急停按键被按下停止
, 触控屏手动停止（验证码停止）
, 停电结束
, 达到设置充电电量停止
, 达到设置充电金额停止
, 达到设置充电时长停止
, 枪未正确连接（拔枪结束）
, 车端 S2 主动断开
, 达到 SOC 终止条件停止
, 达到离线停机条件
, BCL 电池充电需求报文超时
, BCL 中电流需求>BCP中最高允许充电电流
, BCL 中电压需求>BCP中最高允许充电总电压
, BCP 充电参数配置报文超时
, BCP 中整车动力蓄电池当前电池电压与预充时实际检测到的电池电压大于 5%
, BCP 中最高允许充电总电压<充电机最小输出电压
, BCP 中最高允许充电总电压与 BHM 不一致
, BCS 电池充电状态报文超时
, BEM 充电错误报文超时
, BEM 中 CCS 超时信息
, BEM 中 CRM00 超时信息
, BEM 中 CRMAA 超时信息
, BEM 中 CRO 超时信息
, BEM 中 CTS、CML 超时信息
, BHM 桩的输出能力不匹配BHM 中最高允许充电总电压<充电机最小输出电压
, BMS 通讯异常
, BMS 其他故障
, BMS 预充电压不匹配
, BMS 中充电禁止时间超 时
, BMS 中单体动力蓄电池电压过高/过低
, BMS 中动力蓄电池充电过流
, BMS 中动力蓄电池绝缘状态异常
, BMS 中动力蓄电池温度过高
, BMS 中动力蓄电池组输出连接器连接状态异常
, BMS 中整车动力蓄电池荷电状态SOC过高/过低
, BRM 车辆辨识报文超 时
, BRO 充电准备就绪报文超时
, BRO 重大故障停止充 电
, BSD 充电统计数据报文超时
, BMS 动力蓄电池状态报文超时
, BST 中止充电报文超时
, BST中 BMS 元件、输出连接器过温
, BST 中充电连接器故障
, BST 中达到单体电压的设定值
, BST 中达到总电压的设定值
, BST 中电池组温度过高故障
, BST 中电流过大
, BST 中电压异常
, BST 中高压继电器故障
, BST 中检测点 2 电压检测故障
, BST 中绝缘故障
, BST 中其它故障
, BST 中输出连接器过温故障
, CCS 充电机状态报文超时
, CRO 充电机输出就绪超时
, CSD 充电统计数据报文超时
, CST 充电机终止充电报文超时
, 车辆电量无法传送
, 车辆电流不匹配
, 车辆占位超时告警
, 单体动力蓄电池电压过低
, 单体动力蓄电池电压过高
, 电池电压异常
, 电池反接
, 电池欠压
, 动力蓄电池充电过流
, 动力蓄电池绝缘故障
, 动力蓄电池连接器故障
, 动力蓄电池温度过高
, 收到 BROAA 后又收到BRO00
, 新老国标探测超时，此为车辆故障。
, 整车动力蓄电池荷电状态 SOC 过低
, 整车动力蓄电池荷电状态 SOC 过高
, 车/桩电压异常故障
, 地线故障
, 检测点电压检测故障
, 交流断路器故障
, 交流防雷故障
, 交易记录已满告警
, 接触器外侧电压大于10v
, 漏电保护故障
, 模块保护故障
, 三相不平衡告警
, 输出电压过流故障
, 输出电压过压故障
, 输出电压欠压故障
, 输出短路故障
, 输入电源故障（过压、过流、欠压，跳 闸）
, 输入缺相告警
, 桩群电容量超过额定限制故障
, 避雷器故障
, 车位锁电池耗尽故障
, 车位锁故障
, 车位锁落锁失败故障
, 充电机系统故障
, 充电接口电子锁故障
, 充电接口过温告警
, 充电连接故障
, 充电枪未归位告警
, 充电设备暂停使用
, 导引板通讯故障
, 灯板通讯故障
, 电表数据异常故障
, 电表通讯故障
, 电源模块地址冲突故障
, 电源模块故障
, 电源模块过温告警
, 读卡器异常故障
, 分配策略失败告警
, 辅助电源故障
, 功率控制模块故障
, 柜门被打开故障
, 充电桩过温告警
, 充电枪过温告警
, 环境监控板通讯故障
, 计费控制单元通讯故障
, 交流接触器故障
, 绝缘采样盒通讯故障
, 绝缘监测故障
, 开关模块故障
, 空调通讯故障
, 离线故障
, 模块风扇故障
, 模块开机超时故障
, 模块通讯故障
, 母联粘连故障
, 目标充电口当前订单不一致
, 内部通讯故障
, 启动充电超时
, 启动完成应答失败故障
, 枪口异常故障
, 枪头插拔次数告警
, 设备自检超时故障
, 输出接触器粘连故障
, 水浸故障
, 无空闲模块可用（限智能分配功率）
, 无源开出盒通讯故障
, 无源开入盒通讯故障
, 系统风扇故障
, 显示屏通信故障
, 泄放回路故障
, 烟雾故障
, 预充完成超时故障
, 执行远程功率
, 直流采样盒通讯故障
, 直流接触器故障
, 直流熔断器故障
, 指令要求终止的订单号不存在或者和
, 中间继电器故障
, 自检功率分配超时告警
, 液位故障
